schedule_type,threads_number,block_sizes(bytes),iteration,compile_time(s),decompile_time(s)
dynamic,32,1000,2,8.41893,8.91247
dynamic,32,10000,2,16.7173,16.1157
dynamic,32,100000,2,14.913,13.2505
dynamic,32,1000000,2,14.8984,15.6956
static,32,1000,2,18.4466,12.0455
static,32,10000,2,14.3056,14.835
static,32,100000,2,12.957,7.9561
static,32,1000000,2,9.13855,9.36479
guided,32,1000,2,7.82103,7.08803
guided,32,10000,2,16.7766,18.0513
guided,32,100000,2,8.99973,7.0671
guided,32,1000000,2,9.33982,16.8362
sequential,0,0,3,18.1437,11.6636
dynamic,1,1000,3,18.0906,12.2487
dynamic,1,10000,3,9.91749,16.0224
dynamic,1,100000,3,11.5064,8.75736
dynamic,1,1000000,3,7.83418,12.6064
static,1,1000,3,14.3022,13.7434
static,1,10000,3,15.0266,13.1115
static,1,100000,3,11.3028,7.48774
static,1,1000000,3,11.2206,16.1812
guided,1,1000,3,10.3837,8.54295
guided,1,10000,3,8.12811,7.40302
guided,1,100000,3,9.78235,16.7608
guided,1,1000000,3,9.76947,12.0303
dynamic,2,1000,3,10.7319,8.43431
dynamic,2,10000,3,29.9963,23.7706
dynamic,2,100000,3,19.8205,19.5251
dynamic,2,1000000,3,40.8903,10.6518
static,2,1000,3,12.3554,13.3439
static,2,10000,3,16.7551,14.9938
static,2,100000,3,26.8675,17.9467
static,2,1000000,3,24.0144,28.6115
guided,2,1000,3,25.6138,18.6106
guided,2,10000,3,9.07412,8.43962
guided,2,100000,3,9.95732,10.1173
guided,2,1000000,3,9.1723,9.94034
dynamic,4,1000,3,10.012,11.9098
dynamic,4,10000,3,9.28082,9.28359
dynamic,4,100000,3,5.86633,2.92991
dynamic,4,1000000,3,4.16811,4.15534
static,4,1000,3,3.65611,3.03833
static,4,10000,3,3.69617,3.5458
static,4,100000,3,4.36191,3.49097
static,4,1000000,3,3.84899,5.67692
guided,4,1000,3,3.36712,5.05205
guided,4,10000,3,4.97613,3.31123
guided,4,100000,3,5.26926,5.03142
guided,4,1000000,3,3.89302,4.58394
dynamic,8,1000,3,3.07652,4.47376
dynamic,8,10000,3,5.63098,3.89967
dynamic,8,100000,3,4.54548,4.39714
dynamic,8,1000000,3,6.3377,3.69081
static,8,1000,3,4.8784,3.74494
static,8,10000,3,5.46653,4.19667
static,8,100000,3,3.34777,3.73931
static,8,1000000,3,5.06391,5.3863
guided,8,1000,3,3.65808,6.16058
guided,8,10000,3,5.10778,3.15265
guided,8,100000,3,4.64817,4.51429
guided,8,1000000,3,3.95117,3.63013
dynamic,16,1000,3,6.21856,6.14476
dynamic,16,10000,3,10.5797,4.44551
dynamic,16,100000,3,4.59205,5.04246
dynamic,16,1000000,3,3.25499,2.98292
static,16,1000,3,3.11408,3.16838
static,16,10000,3,4.64464,3.88079
static,16,100000,3,3.35775,3.08917
static,16,1000000,3,3.82026,3.42758
guided,16,1000,3,4.9499,8.1955
guided,16,10000,3,3.15947,8.30438
guided,16,100000,3,4.13238,6.2615
