schedule_type,threads_number,block_sizes(bytes),iteration,compile_time(s),decompile_time(s)
dynamic,32,1000,2,5.77719,5.69088
dynamic,32,10000,2,11.1133,8.18523
dynamic,32,100000,2,6.9671,5.95462
dynamic,32,1000000,2,15.3075,6.65905
static,32,1000,2,8.79308,6.30689
static,32,10000,2,4.45383,4.19158
static,32,100000,2,5.04272,4.6109
static,32,1000000,2,9.4656,4.49875
guided,32,1000,2,4.97426,4.24539
guided,32,10000,2,5.46903,4.49451
guided,32,100000,2,4.55231,5.87923
guided,32,1000000,2,12.6337,8.71931
sequential,0,0,3,29.6644,3.66164
dynamic,1,1000,3,23.096,6.15834
dynamic,1,10000,3,18.1632,4.174
dynamic,1,100000,3,32.3322,7.92192
dynamic,1,1000000,3,28.3256,5.60934
static,1,1000,3,24.6515,5.21334
static,1,10000,3,27.6826,10.2384
static,1,100000,3,26.8773,5.58089
static,1,1000000,3,23.9016,5.72495
guided,1,1000,3,32.5884,8.07672
guided,1,10000,3,24.433,5.73597
guided,1,100000,3,23.6871,4.57105
guided,1,1000000,3,28.436,7.89554
dynamic,2,1000,3,22.8803,9.23668
dynamic,2,10000,3,13.5349,8.13879
dynamic,2,100000,3,17.6047,3.79949
dynamic,2,1000000,3,13.9575,9.34259
static,2,1000,3,21.3819,9.49729
static,2,10000,3,19.948,6.38361
static,2,100000,3,15.5134,7.24569
static,2,1000000,3,14.0718,5.701
guided,2,1000,3,21.4969,7.87172
guided,2,10000,3,21.9618,12.3175
guided,2,100000,3,13.5098,6.08008
guided,2,1000000,3,15.5472,3.97815
dynamic,4,1000,3,8.47905,9.29013
dynamic,4,10000,3,13.6459,10.5345
dynamic,4,100000,3,22.6025,9.0434
dynamic,4,1000000,3,12.5262,4.98247
static,4,1000,3,14.0812,6.86243
static,4,10000,3,11.347,5.75207
static,4,100000,3,9.87456,4.66438
static,4,1000000,3,7.35948,2.70989
guided,4,1000,3,8.50559,4.34908
guided,4,10000,3,5.886,3.19588
guided,4,100000,3,6.81302,2.66341
guided,4,1000000,3,7.91976,2.86042
dynamic,8,1000,3,6.47402,3.15559
dynamic,8,10000,3,4.16128,5.54963
dynamic,8,100000,3,4.62473,2.64739
dynamic,8,1000000,3,5.4011,2.85486
static,8,1000,3,8.55368,3.10374
static,8,10000,3,5.29282,2.92242
static,8,100000,3,4.92154,2.70679
static,8,1000000,3,5.45556,2.64359
guided,8,1000,3,5.31671,3.15246
guided,8,10000,3,4.36855,2.77398
guided,8,100000,3,4.55385,3.20359
guided,8,1000000,3,5.42762,3.28732
dynamic,16,1000,3,5.0626,3.03115
dynamic,16,10000,3,3.43311,2.71285
dynamic,16,100000,3,3.73728,2.84345
dynamic,16,1000000,3,4.88631,2.69883
static,16,1000,3,4.3472,3.26652
static,16,10000,3,3.45709,2.70389
static,16,100000,3,3.93357,3.68568
static,16,1000000,3,4.88308,2.78807
guided,16,1000,3,4.25939,3.27799
guided,16,10000,3,3.92607,2.70709
guided,16,100000,3,3.50322,2.73043
guided,16,1000000,3,5.10419,3.13891
dynamic,32,1000,3,3.79523,3.01852
dynamic,32,10000,3,3.46101,2.72337
dynamic,32,100000,3,3.87236,2.58861
dynamic,32,1000000,3,7.54611,2.66962
static,32,1000,3,4.37575,3.10154
static,32,10000,3,3.48387,2.78813
static,32,100000,3,6.99897,2.8954
static,32,1000000,3,9.49851,7.39411
guided,32,1000,3,3.79777,3.0586
guided,32,10000,3,3.45715,2.84909
guided,32,100000,3,3.58128,2.66541
guided,32,1000000,3,7.33355,2.65063
sequential,0,0,4,20.2076,1.20159
dynamic,1,1000,4,19.6888,3.27639
dynamic,1,10000,4,15.3235,3.0737
dynamic,1,100000,4,18.9725,2.98816
dynamic,1,1000000,4,20.2799,3.31953
static,1,1000,4,20.4304,3.18982
static,1,10000,4,15.143,3.83912
static,1,100000,4,18.6217,3.01892
static,1,1000000,4,20.3171,5.44106
guided,1,1000,4,21.4101,3.39142
guided,1,10000,4,14.8225,3.64903
guided,1,100000,4,18.5069,3.5319
guided,1,1000000,4,20.1938,3.28411
dynamic,2,1000,4,11.9958,3.26212
dynamic,2,10000,4,14.0355,7.82913
dynamic,2,100000,4,12.0505,7.61925
dynamic,2,1000000,4,12.9192,2.83799
static,2,1000,4,13.0546,3.16955
static,2,10000,4,9.06498,3.63053
static,2,100000,4,10.9758,3.01958
static,2,1000000,4,11.7876,3.54502
guided,2,1000,4,12.1101,3.00272
guided,2,10000,4,9.23938,3.01624
guided,2,100000,4,11.1684,2.94851
guided,2,1000000,4,11.8563,3.59629
dynamic,4,1000,4,7.58924,3.52615
dynamic,4,10000,4,6.24692,3.32406
dynamic,4,100000,4,7.81473,4.63717
dynamic,4,1000000,4,7.71706,2.82135
static,4,1000,4,7.48132,5.42945
static,4,10000,4,6.26805,2.99727
static,4,100000,4,6.95236,2.68792
static,4,1000000,4,7.60739,2.60203
guided,4,1000,4,7.74745,2.89263
guided,4,10000,4,5.84272,2.8364
guided,4,100000,4,6.87393,2.67522
guided,4,1000000,4,7.47306,2.64445
dynamic,8,1000,4,5.12392,3.14457
dynamic,8,10000,4,4.45223,2.93558
dynamic,8,100000,4,4.66134,2.64055
dynamic,8,1000000,4,5.32608,2.82893
static,8,1000,4,5.24396,3.69081
static,8,10000,4,4.88528,3.21626
static,8,100000,4,8.21438,2.81866
static,8,1000000,4,5.7073,2.63081
guided,8,1000,4,5.035,2.8845
guided,8,10000,4,4.57678,2.71196
guided,8,100000,4,5.04426,2.67585
guided,8,1000000,4,5.09987,2.60567
dynamic,16,1000,4,4.01935,3.06143
dynamic,16,10000,4,3.76685,2.7825
dynamic,16,100000,4,3.6776,2.72385
dynamic,16,1000000,4,4.83178,2.87908
static,16,1000,4,4.06241,3.11363
static,16,10000,4,3.74224,2.70526
static,16,100000,4,3.64996,2.60949
static,16,1000000,4,4.9158,2.62945
guided,16,1000,4,4.25856,2.90079
guided,16,10000,4,3.56525,2.79622
guided,16,100000,4,3.7226,2.6022
guided,16,1000000,4,4.82544,2.75939
dynamic,32,1000,4,3.88146,2.96367
dynamic,32,10000,4,3.26026,2.85569
dynamic,32,100000,4,3.73317,2.69187
dynamic,32,1000000,4,7.59163,2.93182
static,32,1000,4,5.3214,5.86954
static,32,10000,4,3.40567,3.89132
static,32,100000,4,7.09658,4.53989
static,32,1000000,4,9.09446,3.59793
guided,32,1000,4,8.49226,3.45088
guided,32,10000,4,4.73425,3.97453
guided,32,100000,4,3.62595,2.58899
guided,32,1000000,4,7.31585,2.74505
sequential,0,0,5,20.4035,1.21966
dynamic,1,1000,5,20.4744,3.21016
dynamic,1,10000,5,14.9647,3.02458
dynamic,1,100000,5,18.6057,3.1388
dynamic,1,1000000,5,20.3551,3.07379
