
schedule_type,threads_number,block_sizes(bytes),iteration,compile_time(s),decompile_time(s)
dynamic,32,1000,2,3.51866,3.88633
dynamic,32,10000,2,6.35339,4.2234
dynamic,32,100000,2,4.15362,3.7505
dynamic,32,1000000,2,3.46634,6.01475
static,32,1000,2,3.60574,5.50277
static,32,10000,2,4.22329,3.79723
static,32,100000,2,7.46334,3.73815
static,32,1000000,2,3.74003,3.45534
guided,32,1000,2,4.28299,3.37183
guided,32,10000,2,3.57552,4.48898
guided,32,100000,2,5.64577,3.85075
guided,32,1000000,2,3.52761,3.64026
sequential,0,0,3,3.49553,1.63046
dynamic,1,1000,3,3.52766,3.36913
dynamic,1,10000,3,3.55701,6.25259
dynamic,1,100000,3,3.85391,4.26029
dynamic,1,1000000,3,4.00076,4.05349
static,1,1000,3,7.08459,6.27501
static,1,10000,3,7.10771,3.61857
static,1,100000,3,5.65815,5.22947
static,1,1000000,3,5.89878,4.55074
guided,1,1000,3,3.93716,3.38553
guided,1,10000,3,3.81591,4.10905
guided,1,100000,3,3.98857,4.2506
guided,1,1000000,3,5.86094,3.50603
dynamic,2,1000,3,3.666,4.01957
dynamic,2,10000,3,5.1541,9.67303
dynamic,2,100000,3,4.06842,5.23816
dynamic,2,1000000,3,3.87562,6.01477
static,2,1000,3,4.01773,4.58724
static,2,10000,3,5.66237,3.41657
static,2,100000,3,3.74306,4.77551
static,2,1000000,3,4.94373,9.04712
guided,2,1000,3,3.81754,3.41516
guided,2,10000,3,4.27586,4.16052
guided,2,100000,3,3.83027,7.44318
guided,2,1000000,3,3.91079,3.26574
dynamic,4,1000,3,5.96889,9.91271
dynamic,4,10000,3,10.009,3.71772
dynamic,4,100000,3,5.70535,3.76874
dynamic,4,1000000,3,5.75389,9.51845
static,4,1000,3,6.15015,3.15657
static,4,10000,3,4.43748,7.10686
static,4,100000,3,3.60449,4.7008
static,4,1000000,3,5.38434,3.92313
guided,4,1000,3,4.00125,3.99946
guided,4,10000,3,5.75427,8.88858
guided,4,100000,3,4.22262,3.50675
guided,4,1000000,3,4.45553,4.93455
dynamic,8,1000,3,4.7401,6.10014
dynamic,8,10000,3,4.28456,3.34055
dynamic,8,100000,3,6.04239,3.53299
dynamic,8,1000000,3,3.62944,3.46276
static,8,1000,3,3.52215,3.46018
static,8,10000,3,4.12361,4.61693
static,8,100000,3,6.85073,3.22103
static,8,1000000,3,3.58676,3.88534
guided,8,1000,3,3.46179,3.28632
guided,8,10000,3,3.54912,4.24973
guided,8,100000,3,4.31647,3.26252
guided,8,1000000,3,3.76736,4.23054
dynamic,16,1000,3,3.48548,4.48778
dynamic,16,10000,3,3.39066,3.87372
dynamic,16,100000,3,3.59178,3.48746
dynamic,16,1000000,3,4.08784,5.15073
static,16,1000,3,4.67483,3.08494
static,16,10000,3,3.69071,3.01277
static,16,100000,3,3.78708,3.32585
static,16,1000000,3,4.70031,3.22896
guided,16,1000,3,3.98593,3.19858
guided,16,10000,3,4.07355,5.32701
guided,16,100000,3,4.36397,3.73315
guided,16,1000000,3,3.31064,5.17458
dynamic,32,1000,3,3.79442,3.08568
dynamic,32,10000,3,3.57412,4.43251
dynamic,32,100000,3,3.51204,3.70782
dynamic,32,1000000,3,5.23358,5.40535
static,32,1000,3,4.20286,4.14813
static,32,10000,3,6.16227,10.0388
static,32,100000,3,5.94112,5.28439
static,32,1000000,3,6.13068,6.91751
guided,32,1000,3,5.32714,4.7967
guided,32,10000,3,4.73843,3.78686
guided,32,100000,3,3.50773,3.56699
guided,32,1000000,3,5.17906,3.46231
sequential,0,0,4,3.54437,4.93046
dynamic,1,1000,4,3.557,3.59291
dynamic,1,10000,4,3.54162,14.0582
dynamic,1,100000,4,3.50674,10.1125
dynamic,1,1000000,4,3.71075,3.97052
static,1,1000,4,3.82996,4.06336
static,1,10000,4,6.46663,4.21323
static,1,100000,4,3.7271,3.56548
static,1,1000000,4,5.13327,3.86496
guided,1,1000,4,4.08411,3.48117
guided,1,10000,4,3.72024,6.35757
guided,1,100000,4,4.5797,3.38163
guided,1,1000000,4,3.83188,3.24072
dynamic,2,1000,4,4.83294,4.66954
dynamic,2,10000,4,4.45026,5.7423
dynamic,2,100000,4,7.301,4.30287
dynamic,2,1000000,4,3.42869,3.49414
static,2,1000,4,4.18912,4.05751
static,2,10000,4,3.81155,4.34648
static,2,100000,4,3.61076,3.63161
static,2,1000000,4,4.98274,5.45075
guided,2,1000,4,5.60801,3.49405
guided,2,10000,4,4.54064,4.58582
guided,2,100000,4,4.13527,3.66233
guided,2,1000000,4,4.39105,4.89977
dynamic,4,1000,4,3.73855,6.17123
dynamic,4,10000,4,3.70873,4.62206
dynamic,4,100000,4,3.55493,4.56133
dynamic,4,1000000,4,3.62969,3.71576
static,4,1000,4,13.8005,11.8143
static,4,10000,4,7.83048,7.8146
static,4,100000,4,7.15837,3.29075
static,4,1000000,4,5.68848,6.26323
guided,4,1000,4,5.77802,6.57261
guided,4,10000,4,6.31396,4.61295
guided,4,100000,4,3.35371,5.67273
guided,4,1000000,4,5.21908,5.2828
dynamic,8,1000,4,4.35606,4.6903
dynamic,8,10000,4,3.56629,4.16837
dynamic,8,100000,4,3.82525,4.02659
dynamic,8,1000000,4,4.40509,4.11651
static,8,1000,4,7.15284,3.7361
static,8,10000,4,4.63144,4.1449
